Java HotSpot(TM) 64-Bit Server VM (25.191-b12) for windows-amd64 JRE (1.8.0_191-b12), built on Oct  6 2018 09:29:03 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16702828k(8722676k free), swap 21938336k(13119528k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:InitialHeapSize=267245248 -XX:+ManagementServer -XX:MaxHeapSize=4275923968 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2.870: [GC (GCLocker Initiated GC) [PSYoungGen: 65536K->7539K(76288K)] 65567K->7586K(251392K), 0.0118242 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
3.615: [GC (Metadata GC Threshold) [PSYoungGen: 72933K->10513K(76288K)] 72980K->10568K(251392K), 0.0146670 secs] [Times: user=0.00 sys=0.02, real=0.01 secs] 
3.629: [Full GC (Metadata GC Threshold) [PSYoungGen: 10513K->0K(76288K)] [ParOldGen: 55K->10061K(121344K)] 10568K->10061K(197632K), [Metaspace: 20533K->20531K(1067008K)], 0.0935404 secs] [Times: user=0.08 sys=0.05, real=0.09 secs] 
5.620: [GC (Allocation Failure) [PSYoungGen: 65536K->6519K(76288K)] 75603K->16594K(197632K), 0.0069087 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
6.809: [GC (Allocation Failure) [PSYoungGen: 72055K->9361K(93184K)] 82130K->19445K(214528K), 0.0136617 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
39.037: [GC (Allocation Failure) [PSYoungGen: 91793K->10720K(93184K)] 101877K->79704K(214528K), 0.1962979 secs] [Times: user=0.70 sys=0.03, real=0.20 secs] 
81.310: [GC (Allocation Failure) [PSYoungGen: 93152K->52724K(120832K)] 162136K->161452K(242176K), 0.2656948 secs] [Times: user=0.98 sys=0.03, real=0.27 secs] 
81.576: [Full GC (Ergonomics) [PSYoungGen: 52724K->33754K(120832K)] [ParOldGen: 108728K->121122K(366080K)] 161452K->154876K(486912K), [Metaspace: 30261K->30261K(1077248K)], 1.6232370 secs] [Times: user=6.14 sys=0.02, real=1.62 secs] 
117.256: [GC (Allocation Failure) [PSYoungGen: 101850K->88064K(156160K)] 222972K->222570K(522240K), 0.2478032 secs] [Times: user=0.98 sys=0.02, real=0.25 secs] 
152.566: [GC (Allocation Failure) [PSYoungGen: 156160K->115200K(159744K)] 290666K->290538K(525824K), 0.3152589 secs] [Times: user=1.14 sys=0.05, real=0.32 secs] 
175.919: [GC (Allocation Failure) [PSYoungGen: 159744K->125920K(200704K)] 335082K->335162K(566784K), 0.2634624 secs] [Times: user=1.05 sys=0.00, real=0.26 secs] 
198.221: [GC (Allocation Failure) [PSYoungGen: 170464K->170400K(197120K)] 379706K->379650K(563200K), 0.3949951 secs] [Times: user=1.52 sys=0.03, real=0.39 secs] 
211.639: [GC (Allocation Failure) [PSYoungGen: 193952K->193952K(225792K)] 403202K->403202K(591872K), 0.4081778 secs] [Times: user=1.55 sys=0.00, real=0.41 secs] 
224.068: [GC (Allocation Failure) [PSYoungGen: 217504K->217536K(233984K)] 426754K->426786K(600064K), 0.4912829 secs] [Times: user=1.83 sys=0.06, real=0.49 secs] 
